****************************  A* ALGORITHM  ******************************
**************************************************************************
Astar-Solution  Solution        Time(nodes)     Status
--------------  -----------     -----------     --------------------------
4               4               5               Success
4               4               6               Success
3               3               9               Success
3               3               4               Success
5               5               34              Success
3               3               13              Success
5               5               19              Success
2               2               4               Success
5               5               26              Success
5               5               7               Success
1               1               2               Success
2               2               3               Success
8               8               9               Success
2               2               4               Success
4               4               5               Success
2               2               3               Success
13              13              25              Success
4               4               8               Success
7               7               22              Success
5               5               6               Success
2               2               5               Success
3               3               6               Success
6               6               32              Success
4               4               9               Success
2               2               3               Success
-1              -1              3               Success
3               3               6               Success
4               4               6               Success
3               3               14              Success
3               3               11              Success
4               4               17              Success
2               2               3               Success
-1              -1              14              Success
5               5               51              Success
2               2               3               Success
5               5               17              Success
3               3               4               Success
2               2               3               Success
5               5               9               Success
3               3               6               Success
3               3               4               Success
-1              -1              39              Success
3               3               7               Success
13              13              38              Success
3               3               5               Success
3               3               13              Success
6               6               8               Success
4               4               11              Success
2               2               3               Success
5               5               6               Success
6               6               45              Success
3               3               4               Success
8               8               9               Success
11              11              88              Success
4               4               5               Success
4               4               22              Success
4               4               25              Success
3               3               10              Success
3               3               10              Success
2               2               4               Success
4               4               25              Success
4               4               5               Success
4               4               6               Success
6               6               14              Success
5               5               16              Success
4               4               6               Success
4               4               19              Success
3               3               5               Success
4               4               5               Success
11              11              12              Success
13              13              26              Success
-1              -1              22              Success
4               4               27              Success
4               4               6               Success
3               3               4               Success
6               6               19              Success
4               4               11              Success
4               4               5               Success
5               5               6               Success
5               5               20              Success
9               9               92              Success
2               2               3               Success
6               6               26              Success
3               3               6               Success
9               9               42              Success
3               3               4               Success
3               3               5               Success
2               2               3               Success
4               4               9               Success
6               6               41              Success
3               3               8               Success
3               3               5               Success
2               2               3               Success
5               5               27              Success
6               6               48              Success
3               3               4               Success
6               6               11              Success
5               5               27              Success
6               6               8               Success
11              11              13              Success
9               9               18              Success
3               3               5               Success
3               3               7               Success
6               6               35              Success
11              11              62              Success
4               4               12              Success
-1              -1              4               Success
3               3               7               Success
4               4               9               Success
5               5               7               Success
2               2               3               Success
7               7               34              Success
3               3               6               Success
9               9               37              Success
15              15              111             Success
7               7               17              Success
3               3               7               Success
7               7               11              Success
7               7               9               Success
2               2               4               Success
2               2               4               Success
5               5               13              Success
8               8               40              Success
4               4               18              Success
4               4               16              Success
2               2               3               Success
4               4               6               Success
5               5               7               Success
-1              -1              25              Success
3               3               4               Success
6               6               36              Success
5               5               6               Success
5               5               17              Success
4               4               6               Success
3               3               6               Success
2               2               3               Success
3               3               8               Success
5               5               18              Success
3               3               8               Success
7               7               23              Success
3               3               5               Success
5               5               6               Success
-1              -1              4               Success
5               5               21              Success
3               3               6               Success
4               4               25              Success
2               2               3               Success
4               4               6               Success
7               7               50              Success
5               5               11              Success
3               3               4               Success
5               5               7               Success
4               4               5               Success
5               5               24              Success
4               4               6               Success
4               4               12              Success
9               9               32              Success
6               6               7               Success
4               4               5               Success
2               2               3               Success
5               5               26              Success
8               8               10              Success
11              11              27              Success
3               3               7               Success
12              12              44              Success
4               4               5               Success
4               4               6               Success
1               1               2               Success
6               6               12              Success
3               3               4               Success
4               4               6               Success
-1              -1              8               Success
8               8               37              Success
2               2               3               Success
6               6               42              Success
8               8               10              Success
4               4               5               Success
-1              -1              48              Success
13              13              15              Success
4               4               8               Success
3               3               4               Success
3               3               5               Success
4               4               5               Success
7               7               19              Success
3               3               7               Success
-1              -1              21              Success
3               3               6               Success
6               6               8               Success
7               7               28              Success
4               4               5               Success
2               2               3               Success
-1              -1              4               Success
1               1               2               Success
769             769             4605            Success
-1              -1              2               Success
-1              -1              1               Success
2               2               4               Success
3226            3226            3230            Success
100             100             4080            Success
204             204             3802            Success
-1              -1              499             Success
33              33              35              Success
25              25              26              Success
5               5               7               Success
192             192             1500            Success
78              78              233             Success
53              53              308             Success
161             161             1113            Success
-1              -1              1347            Success
159             159             2179            Success
12              12              81              Success
344             344             346             Success
37              37              837             Success
-1              -1              2               Success
-2              99999999        9999999         TLE
**************************************************************************
**************************************************************************
Success : 214
Fail    : 1
Accuracy: 99.5349%
