****************************  BFS ALGORITHM  ******************************
**************************************************************************
BFS-Solution    Solution        Time(nodes)     Status
--------------  -----------     -----------     --------------------------
4               4               48              Success
4               4               112             Success
3               3               18              Success
3               3               40              Success
5               5               124             Success
3               3               63              Success
5               5               73              Success
2               2               29              Success
5               5               31              Success
5               5               66              Success
1               1               9               Success
2               2               16              Success
8               8               103             Success
2               2               6               Success
4               4               90              Success
2               2               11              Success
13              13              145             Success
4               4               163             Success
7               7               182             Success
5               5               181             Success
2               2               31              Success
3               3               78              Success
6               6               36              Success
4               4               20              Success
2               2               25              Success
-1              -1              3               Success
3               3               44              Success
4               4               126             Success
3               3               37              Success
3               3               52              Success
4               4               72              Success
2               2               21              Success
-1              -1              14              Success
5               5               104             Success
2               2               12              Success
5               5               171             Success
3               3               56              Success
2               2               9               Success
5               5               155             Success
3               3               24              Success
3               3               81              Success
-1              -1              39              Success
3               3               15              Success
13              13              50              Success
3               3               112             Success
3               3               60              Success
6               6               75              Success
4               4               87              Success
2               2               15              Success
5               5               86              Success
6               6               127             Success
3               3               46              Success
8               8               109             Success
11              11              176             Success
4               4               131             Success
4               4               84              Success
4               4               44              Success
3               3               20              Success
3               3               45              Success
2               2               10              Success
4               4               58              Success
4               4               125             Success
4               4               110             Success
6               6               181             Success
5               5               88              Success
4               4               89              Success
4               4               43              Success
3               3               22              Success
4               4               57              Success
11              11              68              Success
13              13              105             Success
-1              -1              22              Success
4               4               51              Success
4               4               48              Success
3               3               64              Success
6               6               41              Success
4               4               74              Success
4               4               44              Success
5               5               152             Success
5               5               28              Success
9               9               167             Success
2               2               9               Success
6               6               48              Success
3               3               35              Success
9               9               137             Success
3               3               36              Success
3               3               99              Success
2               2               14              Success
4               4               75              Success
6               6               130             Success
3               3               40              Success
3               3               76              Success
2               2               39              Success
5               5               87              Success
6               6               72              Success
3               3               65              Success
6               6               124             Success
5               5               74              Success
6               6               193             Success
11              11              144             Success
9               9               179             Success
3               3               23              Success
3               3               33              Success
6               6               73              Success
11              11              78              Success
4               4               114             Success
-1              -1              4               Success
3               3               12              Success
4               4               37              Success
5               5               146             Success
2               2               18              Success
7               7               59              Success
3               3               60              Success
9               9               148             Success
15              15              153             Success
7               7               152             Success
3               3               43              Success
7               7               11              Success
7               7               104             Success
2               2               15              Success
2               2               4               Success
5               5               103             Success
8               8               108             Success
4               4               79              Success
4               4               58              Success
2               2               16              Success
4               4               99              Success
5               5               94              Success
-1              -1              25              Success
3               3               43              Success
6               6               85              Success
5               5               117             Success
5               5               191             Success
4               4               115             Success
3               3               30              Success
2               2               23              Success
3               3               45              Success
5               5               115             Success
3               3               13              Success
7               7               99              Success
3               3               8               Success
5               5               83              Success
-1              -1              4               Success
5               5               102             Success
3               3               57              Success
4               4               60              Success
2               2               9               Success
4               4               36              Success
7               7               142             Success
5               5               87              Success
3               3               45              Success
5               5               50              Success
4               4               58              Success
5               5               143             Success
4               4               76              Success
4               4               81              Success
9               9               195             Success
6               6               105             Success
4               4               112             Success
2               2               23              Success
5               5               44              Success
8               8               177             Success
11              11              107             Success
3               3               52              Success
12              12              56              Success
4               4               63              Success
4               4               107             Success
1               1               8               Success
6               6               144             Success
3               3               60              Success
4               4               85              Success
-1              -1              8               Success
8               8               43              Success
2               2               12              Success
6               6               52              Success
8               8               133             Success
4               4               78              Success
-1              -1              48              Success
13              13              154             Success
4               4               75              Success
3               3               66              Success
3               3               35              Success
4               4               72              Success
7               7               81              Success
3               3               35              Success
-1              -1              21              Success
3               3               55              Success
6               6               132             Success
7               7               164             Success
4               4               79              Success
2               2               21              Success
-1              -1              4               Success
1               1               4               Success
769             769             9958            Success
-1              -1              2               Success
-1              -1              1               Success
2               2               7               Success
3226            3226            99990           Success
100             100             4082            Success
204             204             9981            Success
-1              -1              499             Success
33              33              973             Success
25              25              384             Success
5               5               33              Success
192             192             8825            Success
78              78              2218            Success
53              53              2839            Success
161             161             9950            Success
-1              -1              1347            Success
159             159             7722            Success
12              12              221             Success
344             344             7886            Success
37              37              3245            Success
-1              -1              1               Success
-2              99999999        100000000       TLE
**************************************************************************
**************************************************************************
Success : 214
Fail    : 1
Accuracy: 99.5349%
