****************************  DFS ALGORITHM  ******************************
**************************************************************************
DFS-Solution    Solution        Time(nodes)     Status
--------------  -----------     -----------     --------------------------
4               4               31977487        Success
-2              4               100000000       TLE
3               3               7708            Success
3               3               10323805        Success
5               5               90342337        Success
-2              3               100000000       TLE
-2              5               100000000       TLE
2               2               39489           Success
5               5               613             Success
-2              5               100000000       TLE
1               1               211015          Success
2               2               516501          Success
-2              8               100000000       TLE
2               2               36              Success
-2              4               100000000       TLE
2               2               21967           Success
-2              13              100000000       TLE
-2              4               100000000       TLE
-2              7               100000000       TLE
-2              5               100000000       TLE
2               2               86095           Success
-2              3               100000000       TLE
6               6               5511996         Success
4               4               204061          Success
2               2               61261           Success
-1              -1              28              Success
3               3               175001          Success
-2              4               100000000       TLE
3               3               13681           Success
-2              3               100000000       TLE
4               4               6523987         Success
2               2               11321           Success
-1              -1              53              Success
-2              5               100000000       TLE
2               2               229             Success
-2              5               100000000       TLE
3               3               6959773         Success
2               2               86              Success
-2              5               100000000       TLE
-2              3               100000000       TLE
-2              3               100000000       TLE
-1              -1              2033            Success
3               3               34591           Success
13              13              66857           Success
-2              3               100000000       TLE
3               3               10008353        Success
-2              6               100000000       TLE
-2              4               100000000       TLE
2               2               525377          Success
-2              5               100000000       TLE
-2              6               100000000       TLE
-2              3               100000000       TLE
-2              8               100000000       TLE
-2              11              100000000       TLE
-2              4               100000000       TLE
-2              4               100000000       TLE
4               4               108439          Success
3               3               2188            Success
3               3               80689           Success
2               2               157             Success
4               4               659464          Success
-2              4               100000000       TLE
-2              4               100000000       TLE
-2              6               100000000       TLE
-2              5               100000000       TLE
-2              4               100000000       TLE
4               4               1778416         Success
3               3               2309            Success
4               4               11004613        Success
-2              11              100000000       TLE
-2              13              100000000       TLE
-1              -1              144130          Success
4               4               25510249        Success
4               4               505921          Success
-2              3               100000000       TLE
6               6               4060705         Success
-2              4               100000000       TLE
4               4               3614236         Success
-2              5               100000000       TLE
5               5               5561            Success
-2              9               100000000       TLE
2               2               58              Success
6               6               10315           Success
3               3               18451           Success
-2              9               100000000       TLE
-2              3               100000000       TLE
-2              3               100000000       TLE
2               2               1201            Success
-2              4               100000000       TLE
-2              6               100000000       TLE
3               3               907681          Success
-2              3               100000000       TLE
-2              2               100000000       TLE
-2              5               100000000       TLE
-2              6               100000000       TLE
-2              3               100000000       TLE
-2              6               100000000       TLE
-2              5               100000000       TLE
-2              6               100000000       TLE
-2              11              100000000       TLE
-2              9               100000000       TLE
3               3               2801            Success
3               3               186089          Success
-2              6               100000000       TLE
-2              11              100000000       TLE
-2              4               100000000       TLE
-1              -1              9               Success
3               3               855             Success
4               4               11329           Success
-2              5               100000000       TLE
2               2               41833           Success
-2              7               100000000       TLE
-2              3               100000000       TLE
-2              9               100000000       TLE
-2              15              100000000       TLE
-2              7               100000000       TLE
-2              3               100000000       TLE
7               7               43              Success
-2              7               100000000       TLE
2               2               2955            Success
2               2               7               Success
-2              5               100000000       TLE
8               8               135043          Success
-2              4               100000000       TLE
-2              4               100000000       TLE
2               2               15409           Success
-2              4               100000000       TLE
-2              5               100000000       TLE
-1              -1              532             Success
-2              3               100000000       TLE
-2              6               100000000       TLE
-2              5               100000000       TLE
-2              5               100000000       TLE
-2              4               100000000       TLE
3               3               35809           Success
2               2               47017           Success
-2              3               100000000       TLE
-2              5               100000000       TLE
3               3               11137           Success
-2              7               100000000       TLE
3               3               49              Success
-2              5               100000000       TLE
-1              -1              15              Success
-2              5               100000000       TLE
-2              3               100000000       TLE
4               4               41573577        Success
2               2               1393            Success
4               4               369686          Success
-2              7               100000000       TLE
-2              5               100000000       TLE
-2              3               100000000       TLE
5               5               70511446        Success
4               4               5882281         Success
-2              5               100000000       TLE
-2              4               100000000       TLE
-2              4               100000000       TLE
-2              9               100000000       TLE
-2              6               100000000       TLE
-2              4               100000000       TLE
2               2               183030          Success
5               5               175811          Success
-2              8               100000000       TLE
11              11              5169589         Success
-2              3               100000000       TLE
12              12              6497            Success
-2              4               100000000       TLE
-2              4               100000000       TLE
-2              1               100000000       TLE
-2              6               100000000       TLE
-2              3               100000000       TLE
-2              4               100000000       TLE
-1              -1              23              Success
8               8               2752            Success
2               2               253             Success
6               6               6193            Success
-2              8               100000000       TLE
-2              4               100000000       TLE
-1              -1              1051            Success
-2              13              100000000       TLE
-2              4               100000000       TLE
-2              3               100000000       TLE
3               3               749176          Success
4               4               3287827         Success
7               7               137290          Success
3               3               1200367         Success
-1              -1              111             Success
3               3               11244381        Success
-2              6               100000000       TLE
-2              7               100000000       TLE
-2              4               100000000       TLE
2               2               13357           Success
-1              -1              9               Success
1               1               37522498        Success
-2              769             100000000       TLE
-1              -1              5               Success
-1              -1              4               Success
2               2               46              Success
-2              3226            100000000       TLE
-2              100             100000000       TLE
-2              204             100000000       TLE
-2              -1              100000000       TLE
-2              33              100000000       TLE
-2              25              100000000       TLE
5               5               3316            Success
-2              192             100000000       TLE
-2              78              100000000       TLE
-2              53              100000000       TLE
-2              161             100000000       TLE
-2              -1              100000000       TLE
-2              159             100000000       TLE
-2              12              100000000       TLE
-2              344             100000000       TLE
-2              37              100000000       TLE
-2              -1              100000000       TLE
-2              99999999        100000000       TLE
**************************************************************************
**************************************************************************
Success : 91
Fail    : 124
Accuracy: 42.3256%
