****************************  IDFS ALGORITHM  ******************************
**************************************************************************
IDFS-Solution   Solution        Time(nodes)     Status
--------------  -----------     -----------     --------------------------
4               4               320             Success
4               4               942             Success
3               3               77              Success
3               3               60              Success
5               5               3736            Success
3               3               278             Success
5               5               983             Success
2               2               24              Success
5               5               355             Success
5               5               990             Success
1               1               4               Success
2               2               25              Success
8               8               122081          Success
2               2               21              Success
4               4               477             Success
2               2               17              Success
13              13              29826176        Success
4               4               1362            Success
7               7               67199           Success
5               5               8311            Success
2               2               39              Success
3               3               114             Success
6               6               2300            Success
4               4               65              Success
2               2               24              Success
-1              -1              39              Success
3               3               79              Success
4               4               944             Success
3               3               174             Success
3               3               138             Success
4               4               353             Success
2               2               25              Success
-1              -1              198             Success
5               5               3197            Success
2               2               17              Success
5               5               12372           Success
3               3               57              Success
2               2               15              Success
5               5               8342            Success
3               3               48              Success
3               3               108             Success
-1              -1              24281           Success
3               3               43              Success
13              13              4769            Success
3               3               139             Success
3               3               175             Success
6               6               4895            Success
4               4               1330            Success
2               2               20              Success
5               5               981             Success
6               6               22922           Success
3               3               60              Success
8               8               29136           Success
11              11              15258877        Success
4               4               1247            Success
4               4               975             Success
4               4               325             Success
3               3               107             Success
3               3               108             Success
2               2               23              Success
4               4               610             Success
4               4               1240            Success
4               4               1258            Success
6               6               22951           Success
5               5               3291            Success
4               4               327             Success
4               4               233             Success
3               3               39              Success
4               4               120             Success
11              11              132869          Success
13              13              1195925         Success
-1              -1              1164542         Success
4               4               689             Success
4               4               326             Success
3               3               70              Success
6               6               541             Success
4               4               939             Success
4               4               204             Success
5               5               5356            Success
5               5               437             Success
9               9               113927          Success
2               2               9               Success
6               6               635             Success
3               3               69              Success
9               9               116526          Success
3               3               43              Success
3               3               117             Success
2               2               9               Success
4               4               683             Success
6               6               42826           Success
3               3               107             Success
3               3               123             Success
2               2               20              Success
5               5               985             Success
6               6               11552           Success
3               3               90              Success
6               6               1829            Success
5               5               1905            Success
6               6               74753           Success
11              11              15258807        Success
9               9               2418669         Success
3               3               37              Success
3               3               114             Success
6               6               4895            Success
11              11              27684           Success
4               4               1363            Success
-1              -1              20              Success
3               3               63              Success
4               4               141             Success
5               5               5368            Success
2               2               17              Success
7               7               1435            Success
3               3               138             Success
9               9               610376          Success
15              15              10714808        Success
7               7               67240           Success
3               3               98              Success
7               7               194             Success
7               7               24427           Success
2               2               24              Success
2               2               11              Success
5               5               3334            Success
8               8               4985            Success
4               4               480             Success
4               4               482             Success
2               2               21              Success
4               4               1252            Success
5               5               991             Success
-1              -1              2431            Success
3               3               59              Success
6               6               1962            Success
5               5               8317            Success
5               5               12476           Success
4               4               939             Success
3               3               68              Success
2               2               18              Success
3               3               95              Success
5               5               3284            Success
3               3               55              Success
7               7               24572           Success
3               3               26              Success
5               5               983             Success
-1              -1              39              Success
5               5               5406            Success
3               3               103             Success
4               4               702             Success
2               2               12              Success
4               4               209             Success
7               7               7182            Success
5               5               1883            Success
3               3               73              Success
5               5               992             Success
4               4               117             Success
5               5               12409           Success
4               4               942             Success
4               4               531             Success
9               9               2418669         Success
6               6               123472          Success
4               4               1245            Success
2               2               15              Success
5               5               1030            Success
8               8               2739159         Success
11              11              133043          Success
3               3               133             Success
12              12              6211            Success
4               4               676             Success
4               4               1256            Success
1               1               3               Success
6               6               4899            Success
3               3               131             Success
4               4               945             Success
-1              -1              49              Success
8               8               1592            Success
2               2               10              Success
6               6               1506            Success
8               8               122084          Success
4               4               317             Success
-1              -1              7602            Success
13              13              29826180        Success
4               4               756             Success
3               3               112             Success
3               3               50              Success
4               4               317             Success
7               7               1655            Success
3               3               75              Success
-1              -1              538             Success
3               3               157             Success
6               6               123484          Success
7               7               24427           Success
4               4               318             Success
2               2               16              Success
-1              -1              20              Success
1               1               3               Success
-2              769             100000000       TLE
-1              -1              9               Success
-1              -1              5               Success
2               2               13              Success
-2              3226            100000000       TLE
-2              100             100000000       TLE
-2              204             100000000       TLE
-2              -1              100000000       TLE
-2              33              100000000       TLE
-2              25              100000000       TLE
5               5               191             Success
-2              192             100000000       TLE
-2              78              100000000       TLE
-2              53              100000000       TLE
-2              161             100000000       TLE
-2              -1              100000000       TLE
-2              159             100000000       TLE
12              12              398420          Success
-2              344             100000000       TLE
-2              37              100000000       TLE
