****************************  BestFS ALGORITHM  ******************************
**************************************************************************
BestFS-Solution  DP-Solution    no of nodes      Status
4       4       5       Success
5       4       7       Fail
3       3       5       Success
3       3       4       Success
7       5       17       Fail
5       3       7       Fail
5       5       6       Success
4       2       11       Fail
5       5       15       Success
6       5       7       Fail
1       1       2       Success
2       2       3       Success
8       8       9       Success
2       2       4       Success
4       4       5       Success
2       2       3       Success
13       13       14       Success
5       4       10       Fail
7       7       8       Success
5       5       6       Success
2       2       8       Success
3       3       4       Success
7       6       8       Fail
4       4       5       Success
2       2       3       Success
0       -1       3       Fail
3       3       4       Success
4       4       8       Success
3       3       10       Success
4       3       5       Fail
4       4       14       Success
2       2       3       Success
0       -1       14       Fail
5       5       6       Success
2       2       3       Success
7       5       8       Fail
3       3       4       Success
2       2       3       Success
7       5       10       Fail
3       3       4       Success
3       3       4       Success
0       -1       39       Fail
3       3       4       Success
13       13       14       Success
5       3       7       Fail
4       3       7       Fail
8       6       9       Fail
5       4       8       Fail
2       2       3       Success
5       5       6       Success
6       6       12       Success
3       3       4       Success
8       8       9       Success
11       11       20       Success
4       4       5       Success
4       4       8       Success
4       4       10       Success
3       3       5       Success
6       3       13       Fail
2       2       4       Success
6       4       14       Fail
4       4       5       Success
6       4       7       Fail
7       6       9       Fail
5       5       7       Success
4       4       6       Success
5       4       6       Fail
3       3       6       Success
4       4       5       Success
11       11       12       Success
15       13       17       Fail
0       -1       22       Fail
4       4       8       Success
4       4       6       Success
3       3       4       Success
6       6       7       Success
4       4       5       Success
4       4       5       Success
5       5       6       Success
5       5       8       Success
9       9       12       Success
2       2       3       Success
16       6       35       Fail
3       3       5       Success
9       9       14       Success
3       3       4       Success
5       3       6       Fail
2       2       3       Success
4       4       5       Success
6       6       8       Success
3       3       5       Success
5       3       6       Fail
2       2       3       Success
5       5       6       Success
6       6       17       Success
3       3       4       Success
6       6       7       Success
5       5       10       Success
8       6       9       Fail
11       11       16       Success
9       9       11       Success
3       3       8       Success
3       3       6       Success
6       6       8       Success
11       11       12       Success
5       4       6       Fail
0       -1       4       Fail
3       3       4       Success
5       4       8       Fail
5       5       8       Success
2       2       3       Success
7       7       8       Success
3       3       4       Success
14       9       15       Fail
15       15       26       Success
10       7       15       Fail
3       3       4       Success
7       7       11       Success
10       7       14       Fail
2       2       5       Success
2       2       4       Success
6       5       8       Fail
8       8       21       Success
4       4       6       Success
4       4       5       Success
2       2       3       Success
5       4       6       Fail
5       5       8       Success
0       -1       25       Fail
3       3       4       Success
8       6       18       Fail
5       5       6       Success
6       5       8       Fail
6       4       7       Fail
3       3       5       Success
2       2       3       Success
3       3       4       Success
5       5       6       Success
3       3       4       Success
9       7       14       Fail
3       3       4       Success
5       5       6       Success
0       -1       4       Fail
5       5       13       Success
5       3       6       Fail
4       4       7       Success
2       2       3       Success
4       4       6       Success
7       7       8       Success
5       5       8       Success
3       3       4       Success
5       5       7       Success
4       4       5       Success
6       5       7       Fail
4       4       7       Success
6       4       9       Fail
9       9       11       Success
6       6       7       Success
4       4       5       Success
2       2       3       Success
5       5       12       Success
9       8       10       Fail
11       11       27       Success
3       3       8       Success
12       12       20       Success
4       4       5       Success
4       4       8       Success
1       1       2       Success
6       6       9       Success
3       3       4       Success
4       4       6       Success
0       -1       8       Fail
9       8       17       Fail
2       2       3       Success
6       6       19       Success
9       8       10       Fail
4       4       5       Success
0       -1       48       Fail
13       13       15       Success
6       4       7       Fail
3       3       4       Success
4       3       5       Fail
4       4       5       Success
7       7       10       Success
3       3       6       Success
0       -1       21       Fail
5       3       8       Fail
6       6       8       Success
7       7       9       Success
4       4       5       Success
2       2       3       Success
0       -1       4       Fail
1       1       2       Success
769       769       779       Success
0       -1       2       Fail
0       -1       1       Fail
3       2       4       Fail
3227       3226       3228       Fail
100       100       3982       Success
204       204       205       Success
0       -1       499       Fail
33       33       35       Success
25       25       26       Success
5       5       7       Success
192       192       233       Success
78       78       79       Success
53       53       58       Success
161       161       162       Success
0       -1       1347       Fail
159       159       162       Success
12       12       20       Success
344       344       346       Success
37       37       42       Success
0       -1       1       Fail
9999       9999       10000       Success
**************************************************************************
**************************************************************************
Success :  16
Fail    :  199
Accurracy :  0.07441860465116279
