****************************  HILL CLIMBING ALGORITHM  ****************************
**********************************************************************************
HC-Solution     DP-Solution     Time(nodes)     Status
--------------  -----------     -----------     --------------------------
4               4               4               Success
-1              4               5               Fail/Local Optimum
-1              3               3               Fail/Local Optimum
3               3               3               Success
-1              5               5               Fail/Local Optimum
-1              3               3               Fail/Local Optimum
5               5               5               Success
-1              2               3               Fail/Local Optimum
-1              5               3               Fail/Local Optimum
6               5               6               Fail/Local Optimum
1               1               1               Success
2               2               2               Success
8               8               8               Success
-1              2               2               Fail/Local Optimum
4               4               4               Success
2               2               2               Success
13              13              13              Success
-1              4               6               Fail/Local Optimum
7               7               7               Success
5               5               5               Success
-1              2               4               Fail/Local Optimum
3               3               3               Success
7               6               7               Fail/Local Optimum
4               4               4               Success
2               2               2               Success
-1              -1              2               Fail/Local Optimum
3               3               3               Success
-1              4               5               Fail/Local Optimum
-1              3               3               Fail/Local Optimum
4               3               4               Fail/Local Optimum
-1              4               3               Fail/Local Optimum
2               2               2               Success
-1              -1              4               Fail/Local Optimum
5               5               5               Success
2               2               2               Success
7               5               7               Fail/Local Optimum
3               3               3               Success
2               2               2               Success
-1              5               5               Fail/Local Optimum
3               3               3               Success
3               3               3               Success
-1              -1              8               Fail/Local Optimum
3               3               3               Success
13              13              13              Success
-1              3               5               Fail/Local Optimum
-1              3               3               Fail/Local Optimum
8               6               8               Fail/Local Optimum
-1              4               4               Fail/Local Optimum
2               2               2               Success
5               5               5               Success
-1              6               6               Fail/Local Optimum
3               3               3               Success
8               8               8               Success
-1              11              10              Fail/Local Optimum
4               4               4               Success
-1              4               4               Fail/Local Optimum
-1              4               3               Fail/Local Optimum
-1              3               3               Fail/Local Optimum
-1              3               4               Fail/Local Optimum
-1              2               2               Fail/Local Optimum
-1              4               3               Fail/Local Optimum
4               4               4               Success
6               4               6               Fail/Local Optimum
-1              6               6               Fail/Local Optimum
-1              5               5               Fail/Local Optimum
-1              4               4               Fail/Local Optimum
5               4               5               Fail/Local Optimum
-1              3               4               Fail/Local Optimum
4               4               4               Success
11              11              11              Success
-1              13              13              Fail/Local Optimum
-1              -1              7               Fail/Local Optimum
-1              4               5               Fail/Local Optimum
-1              4               4               Fail/Local Optimum
3               3               3               Success
6               6               6               Success
4               4               4               Success
4               4               4               Success
5               5               5               Success
-1              5               4               Fail/Local Optimum
-1              9               7               Fail/Local Optimum
2               2               2               Success
-1              6               4               Fail/Local Optimum
-1              3               3               Fail/Local Optimum
-1              9               11              Fail/Local Optimum
3               3               3               Success
5               3               5               Fail/Local Optimum
2               2               2               Success
4               4               4               Success
-1              6               6               Fail/Local Optimum
-1              3               3               Fail/Local Optimum
5               3               5               Fail/Local Optimum
2               2               2               Success
5               5               5               Success
-1              6               5               Fail/Local Optimum
3               3               3               Success
6               6               6               Success
-1              5               5               Fail/Local Optimum
8               6               8               Fail/Local Optimum
-1              11              14              Fail/Local Optimum
-1              9               9               Fail/Local Optimum
-1              3               4               Fail/Local Optimum
-1              3               3               Fail/Local Optimum
-1              6               5               Fail/Local Optimum
11              11              11              Success
5               4               5               Fail/Local Optimum
-1              -1              2               Fail/Local Optimum
3               3               3               Success
